URL,Email
"https://www.magueyexchange.com/for-producers","sales@magueyexchange.com"
"https://www.magueyexchange.com/privacy-policy","support@magueyexchange.com"
"https://www.magueyexchange.com/privacy-policy#contact-us","support@magueyexchange.com"
"https://www.magueyexchange.com/terms-of-service","support@magueyexchange.com"
"https://www.magueyexchange.com/terms-of-service#contact-us","support@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#","sales@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#w-tabs-0-data-w-pane-0","sales@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#w-tabs-0-data-w-pane-1","sales@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#w-tabs-0-data-w-pane-2","sales@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#w-tabs-0-data-w-pane-3","sales@magueyexchange.com"
"https://www.magueyexchange.com/for-producers#download","sales@magueyexchange.com"
"https://www.magueyexchange.com/blog/beyond-the-25-understanding-the-real-impact-of-tariffs-on-artisanal-spirits-and-wine","rob@magueyexchange.com"
"https://www.magueyexchange.com/blog/overcoming-the-top-5-challenges-faced-by-artisanal-spirit-importers-today","sales@magueyexchange.com"
"https://www.magueyexchange.com/blog/bridging-the-digital-divide-empowering-rural-producers-in-the-beverage-industry-part-2","hello@magueyexchange.com"
